query_idx,K,jaccard,intersection
182,50,0.13636363636363635,12
182,100,0.12994350282485875,23
183,5,0.6666666666666666,4
183,10,0.3333333333333333,5
183,20,0.21212121212121213,7
183,50,0.08695652173913043,8
183,100,0.1111111111111111,20
184,5,0.25,2
184,10,0.17647058823529413,3
184,20,0.42857142857142855,12
184,50,0.3888888888888889,28
184,100,0.3333333333333333,50
185,5,0.42857142857142855,3
185,10,0.5384615384615384,7
185,20,0.6,15
185,50,0.3888888888888889,28
185,100,0.22699386503067484,37
186,5,0.25,2
186,10,0.3333333333333333,5
186,20,0.5384615384615384,14
186,50,0.3698630136986301,27
186,100,0.27388535031847133,43
187,5,0.1111111111111111,1
187,10,0.05263157894736842,1
187,20,0.21212121212121213,7
187,50,0.12359550561797752,11
187,100,0.11731843575418995,21
188,5,0.1111111111111111,1
188,10,0.17647058823529413,3
188,20,0.21212121212121213,7
188,50,0.20481927710843373,17
188,100,0.11731843575418995,21
189,5,0.25,2
189,10,0.17647058823529413,3
189,20,0.21212121212121213,7
189,50,0.26582278481012656,21
189,100,0.1834319526627219,31
190,5,0.1111111111111111,1
190,10,0.25,4
190,20,0.3333333333333333,10
190,50,0.5873015873015873,37
190,100,0.35135135135135137,52
191,5,0.25,2
191,10,0.3333333333333333,5
191,20,0.48148148148148145,13
191,50,0.2345679012345679,19
191,100,0.28205128205128205,44
192,5,0.25,2
192,10,0.42857142857142855,6
192,20,0.9047619047619048,19
192,50,0.28205128205128205,22
192,100,0.19760479041916168,33
193,5,0.1111111111111111,1
193,10,0.6666666666666666,8
193,20,0.5384615384615384,14
193,50,0.42857142857142855,30
193,100,0.25,40
194,5,0.25,2
194,10,0.5384615384615384,7
194,20,0.42857142857142855,12
194,50,0.3333333333333333,25
194,100,0.27388535031847133,43
195,5,0.25,2
195,10,0.42857142857142855,6
195,20,0.6666666666666666,16
