query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,pointbiserial_r,pointbiserial_p
113,4000,-0.10741191598967645,9.698013727177004e-12,-0.3397764629489657,1.1720349035841948e-108,-0.0866735094123329,8.327646225378399e-12,0.14863043445807467,3.394579988848596e-21
114,4000,-0.2779980828718243,6.725127899522803e-72,-0.42796993157971075,6.804535948188386e-178,-0.21983552936245904,1.140998505467263e-70,0.10965530183337596,3.5501829604213567e-12
115,4000,-0.1318863594046891,5.5118129096152437e-17,-0.2921719633020662,1.4760410982262436e-79,-0.10668084600266431,5.370444939288511e-17,0.16147428429829438,8.961208786689467e-25
116,4000,-0.15025811391361468,1.24209632803444e-21,-0.3867570424718849,7.066499206760164e-143,-0.12173591102467314,1.047267915111792e-21,0.16493312770941107,8.637014433571839e-26
117,4000,-0.25014253471858405,4.034192856633336e-58,-0.390789429683635,4.345526172261762e-146,-0.20270584259552452,1.4154722305635654e-57,0.15283724309523644,2.4677845830096155e-22
118,4000,-0.2806247088408825,2.7670355140782923e-73,-0.3912399765848733,1.8899416294150809e-146,-0.22704659457098453,2.9474380302359785e-71,0.15399055858543448,1.187107947269852e-22
119,4000,-0.11953408203446779,3.32886123241368e-14,-0.27081596935863134,3.4646657269773263e-68,-0.09469076167689981,3.612775098938034e-14,0.14052381894637625,4.296170403894648e-19
120,4000,-0.15622158893833707,2.836032960220198e-23,-0.46552316434375285,2.40927792341689e-214,-0.1266910482863786,2.343022786820265e-23,0.14601165779740433,1.6713586941052866e-20
121,4000,-0.14243649614005063,1.4057095789833725e-19,-0.42125067440438607,7.641020203603802e-172,-0.11632113615806658,1.4876428175487366e-19,0.22513035230895126,3.8997280033572393e-47
122,4000,-0.07824247623625334,7.250212725804083e-07,-0.43822647290910527,2.1308114050219298e-187,-0.06367055292482164,6.90840318457546e-07,0.20586005932124943,1.5549097101596482e-39
123,4000,-0.24566678691819435,4.636985827682817e-56,-0.43021570451838503,6.0221479951940295e-180,-0.19994607677849568,3.700777432318295e-55,0.1635474771353491,2.2185342862706346e-25
124,4000,-0.324795007263219,6.390538061971417e-99,-0.4727140851787556,7.329485930568963e-222,-0.2573854786593245,5.870352199881672e-97,0.09630537721944905,1.0398301233601144e-09
125,4000,-0.24107189931844789,5.473398928208607e-54,-0.42201838318436113,1.5805707778709853e-172,-0.19520916533616103,2.334607422188478e-53,0.15727616665924032,1.4308615913315077e-23
126,4000,-0.1830084020089314,1.824211148207574e-31,-0.41472730635190047,4.2332462982595237e-166,-0.14886072023401622,2.1321555045958536e-31,0.17987880308446108,1.940793114440265e-30
127,4000,-0.12643058836263277,1.007861735235584e-15,-0.2882447419944161,2.1668874805755962e-77,-0.10249486625580004,1.034901625163863e-15,0.19695858073321545,2.8528989598314353e-36
128,4000,-0.16611132212662014,3.8474885008594765e-26,-0.4274501397607786,2.021940540569087e-177,-0.13476276203025242,3.5727071201126665e-26,0.14723735664894103,7.95459236299194e-21
129,4000,-0.1300264314635283,1.5051720799012519e-16,-0.2428440048062408,8.796723532946665e-55,-0.10557316137784149,1.5426751788199248e-16,0.22854087666632494,1.4737976782553072e-48
130,4000,-0.24952880706052807,7.776230139884588e-58,-0.5023497424016288,8.251427843120056e-255,-0.20216596881817098,3.3220966263458675e-57,0.12788420416004798,4.702930946145745e-16
131,4000,-0.29417833031203267,1.1188605098390308e-80,-0.44988698862443177,1.3116390713606993e-198,-0.23747804964928151,9.265948744161251e-80,0.11411441472170726,4.5324049135511324e-13
132,4000,-0.2004565024872427,1.553370445650204e-37,-0.45867407624178197,2.3759888107164086e-207,-0.1622521595821548,2.601364412446357e-37,0.1602426883520714,2.035881578384683e-24
133,4000,-0.15089948523463909,8.332329283706891e-22,-0.3063074614307566,1.20625882063763e-87,-0.12229120516091443,1.1442910016212093e-21,0.19985854607211306,2.564724804092181e-37
134,4000,-0.29969170758002694,8.38161299088693e-84,-0.47489853875621874,3.513642941390394e-224,-0.24146619890752874,1.7268898093996687e-82,0.1209561563183918,1.6446103487300412e-14
135,4000,-0.32117006437512857,1.2023174072643375e-96,-0.537826103581467,8.783212113479418e-299,-0.25718773770558456,2.173423850700706e-95,0.09194403305215681,5.691579757754639e-09
136,4000,-0.19684444453899894,3.1342235013082254e-36,-0.34474526182563225,5.224289852826423e-112,-0.15745049400727923,7.452758953683973e-36,0.12500304106959956,2.1125222558857317e-15
137,4000,-0.16618512539740554,3.656724309337571e-26,-0.4266025034910945,1.1892446799199435e-176,-0.13572687136914144,5.236355562198733e-26,0.24006014282815513,1.5439579156779828e-53
138,4000,-0.18992343688642227,8.427239874408967e-34,-0.37060556846327797,1.846465745341264e-130,-0.15431138665006713,9.960717729384277e-34,0.18809533790454705,3.564507686834067e-33
