query_idx,query_gt_id,doc_id,rank,distance,is_gt,is_rank_1
130,12920330,e5482567-b1d9-429d-ae50-b6cd8312e642,1,0.0,1,1
130,12920330,8d4bae23-904d-4f1e-830a-f5c5ab0f28df,2,0.22042334079742432,0,0
130,12920330,863db1af-d650-4083-8bad-56f878cfbc68,3,0.24797499179840088,0,0
130,12920330,075f2ab1-936e-430e-bcad-d3ef29067cee,4,0.260714590549469,0,0
130,12920330,cfb5c7b2-52d1-4546-a412-48d0ab98e97f,5,0.2612340450286865,0,0
130,12920330,05cfa783-cf24-45f7-bbcb-611a546085a2,6,0.27480340003967285,0,0
130,12920330,ed8baf01-c829-4bb8-8f9e-f28be4bbe25d,7,0.2774231433868408,0,0
130,12920330,ebc6dcc6-d76f-473c-a6ee-23465a2b9852,8,0.2847113013267517,0,0
130,12920330,0b661749-8e06-4e13-ae76-7f8b61d55649,9,0.2949885129928589,0,0
130,12920330,15f35e0e-f342-44a2-9f7a-6c1446c54e82,10,0.2972153425216675,0,0
130,12920330,51837e3d-5b2d-4224-bd1c-f0f9c4e2c117,11,0.3021252155303955,0,0
130,12920330,fa36d3af-cad0-4d48-92bd-19c47647af39,12,0.3106694221496582,0,0
130,12920330,2999dfe3-d90a-4e16-bcdb-8189109dc57e,13,0.3164677619934082,0,0
130,12920330,a236d049-ae55-4c77-a58c-8cc6b7ea3172,14,0.31787192821502686,0,0
130,12920330,a92bde79-d838-421c-a1ea-a587fccef822,15,0.3192979097366333,0,0
130,12920330,0913ae7d-ea2e-4b0e-bed5-e624647d5090,16,0.32169026136398315,0,0
130,12920330,356de504-8c73-4e88-aca7-0c4d186cb9c7,17,0.3218715786933899,0,0
130,12920330,20bdfa03-52be-4f7d-a910-5d7674fea284,18,0.3236679434776306,0,0
130,12920330,92aa656f-5485-4b26-bb76-0479ebaadf7a,19,0.32627028226852417,0,0
130,12920330,e00802ef-09c8-4729-8712-a9395b7f945a,20,0.3317492604255676,0,0
130,12920330,88e98dc8-c911-4011-bfe2-2e7f2c9f321e,21,0.3324466943740845,0,0
130,12920330,64b01577-6cfc-4f6e-aecc-0ffab649d8f3,22,0.33340972661972046,0,0
130,12920330,f1f0ad65-e8c8-4551-a1c9-175fad411ea4,23,0.33347952365875244,0,0
130,12920330,a0e9fc5a-ec44-446d-ad0b-2e0729a290ab,24,0.3335709571838379,0,0
130,12920330,3fd2a003-af36-496f-8976-5b386404b93d,25,0.33372437953948975,0,0
130,12920330,fcf14fa6-a6b8-46a1-81fb-2e5abf5880b9,26,0.33779919147491455,0,0
130,12920330,c0bbb0a8-a6c9-4e01-9bb6-d85f3fa25eef,27,0.3388559818267822,0,0
130,12920330,2af6f794-de5c-4b6f-aa71-2abb274aed33,28,0.3392601013183594,0,0
130,12920330,977f497b-8d6f-4ab6-8ccc-823d7c4c2dbd,29,0.3398178219795227,0,0
130,12920330,9891c914-1b3c-4863-aff2-83372ef42dd6,30,0.34186851978302,0,0
130,12920330,70fc053a-f461-4569-b502-f83d2f4a3a95,31,0.3419554829597473,0,0
130,12920330,2ea5332c-db17-4781-9ee2-678477c5a2d8,32,0.3421823978424072,0,0
130,12920330,2f564a47-2c42-4458-ae78-da6d4565030f,33,0.3423194885253906,0,0
130,12920330,1891b028-ac7c-4a76-8dfd-a3843ed86394,34,0.34343254566192627,0,0
130,12920330,50c3cdec-7e7c-4ffa-92de-d37f520fb240,35,0.3442648649215698,0,0
130,12920330,c9124377-a98e-4f5a-bb5d-44093cff0c89,36,0.34584617614746094,0,0
130,12920330,d6d10b74-4dfa-46d3-80ae-b068457238a1,37,0.3482494354248047,0,0
130,12920330,a05d9294-a1d6-480b-a0c8-b7f465cff732,38,0.3490161895751953,0,0
130,12920330,7e774aa8-e28f-4167-b382-a06fe9a9a643,39,0.35017383098602295,0,0
130,12920330,9bec71bf-fcb6-46af-b6d8-ffb6404a7782,40,0.3504578471183777,0,0
130,12920330,87a0ae42-dd77-4800-9b92-193c8d28dabe,41,0.35055816173553467,0,0
130,12920330,c60c7046-3b8e-4c7e-b927-20d9ca535bb6,42,0.3505597710609436,0,0
130,12920330,d1aea1f1-446a-45c8-bea1-f48efa63f34f,43,0.3511732220649719,0,0
130,12920330,c7a033ab-7392-4baa-9318-fd5ba4092090,44,0.3512512445449829,0,0
130,12920330,efc69964-a20a-4956-834f-351414e06fd2,45,0.3524016737937927,0,0
130,12920330,402abe16-652e-4f18-92e1-f1555a52cadc,46,0.35407304763793945,0,0
130,12920330,172727b1-6a14-4c2d-ba68-18e2cece8175,47,0.3541235327720642,0,0
130,12920330,7dc8fcc4-409c-45da-83e4-4a0d97210c08,48,0.35419827699661255,0,0
130,12920330,77a6ed7f-6976-47f5-8852-8728cd4d4141,49,0.35428518056869507,0,0
130,12920330,1cb538be-f69e-4074-99a9-f834e7c44bef,50,0.3543030023574829,0,0
130,12920330,7f873e17-d3e8-4fb0-806e-1436b84496ee,51,0.35458987951278687,0,0
130,12920330,b960b7f6-f62e-4094-bc89-392aa00b9e4b,52,0.3552778959274292,0,0
130,12920330,02a2b113-7850-47cd-b681-ab6928055d6e,53,0.35538387298583984,0,0
130,12920330,559b43e1-0bbf-4564-8227-e34c929c6150,54,0.35573267936706543,0,0
130,12920330,c69ad44f-8217-4ada-ae41-ec8e65ff5087,55,0.355832040309906,0,0
130,12920330,c1f9b9bb-471e-415e-b5bd-c4abb76010ae,56,0.3561660647392273,0,0
130,12920330,1cbee85f-cf44-4fb5-8372-c949e19f9dca,57,0.35623109340667725,0,0
130,12920330,ceccec7f-2a30-4cd5-8158-1902f9e2db6d,58,0.3573101758956909,0,0
130,12920330,d26614e6-245a-4325-a57b-7cc7a0e09831,59,0.35786116123199463,0,0
130,12920330,4ad4577c-6ab5-4b16-ae44-8253916f2ec1,60,0.3578779101371765,0,0
130,12920330,570eae4b-bf50-4880-8341-8a12582ce786,61,0.3579901456832886,0,0
130,12920330,3d6b887e-769f-4f22-b1d4-4ca70ba15a26,62,0.35864174365997314,0,0
130,12920330,2194b6b0-293a-466c-a76d-a0bf05bc68ea,63,0.35897624492645264,0,0
130,12920330,dd5c6ba8-2e34-4aa0-a785-82babfda0741,64,0.3597172498703003,0,0
130,12920330,0f4e1362-2538-4f38-8852-d4ba90721ae9,65,0.3602728843688965,0,0
130,12920330,d5bed799-8dc0-46bd-a14c-1329254ada40,66,0.3604789972305298,0,0
130,12920330,236ad79c-2f0f-447d-9ee3-0ece32d36dff,67,0.36132586002349854,0,0
130,12920330,7ea72461-994c-40e5-bcb1-6e9c6ba9e7fe,68,0.3635014295578003,0,0
130,12920330,e32c64a0-6e6f-4da8-8e64-f48d3c54bc3c,69,0.3644695281982422,0,0
130,12920330,e84b4da1-4c78-4a14-83dc-f1de90de45cf,70,0.365864098072052,0,0
130,12920330,f3d256fe-c97e-420d-a1c0-85a213029168,71,0.36592137813568115,0,0
130,12920330,a13040a9-38c1-4d4d-a9df-bfdf94f1cf6d,72,0.3665996789932251,0,0
130,12920330,b26e28ed-9aa4-46e9-8d81-ed25b64d7df8,73,0.3667812943458557,0,0
130,12920330,f993e5e6-f6a1-40f9-900f-b3b89d311f1a,74,0.3668581247329712,0,0
130,12920330,2dfae921-1132-4378-b03e-9a8da4959bc8,75,0.3669949769973755,0,0
130,12920330,894adc1f-1dac-4d78-a337-cccdb5ac6edf,76,0.3684290647506714,0,0
130,12920330,0ce5cb5f-b7cc-4209-a881-06f73910e3c5,77,0.36874741315841675,0,0
130,12920330,ba357d8c-9877-4664-9595-3a8c4821c894,78,0.3705528974533081,0,0
130,12920330,68df2194-8e8b-489f-b4ae-9cad2abfe747,79,0.371101975440979,0,0
130,12920330,eb0622a4-b51e-4e1c-848f-ea5c38c0460a,80,0.37139201164245605,0,0
130,12920330,5d84f786-c8e9-4e7c-9fce-6594b0f6411c,81,0.37204086780548096,0,0
