metric,value
MRR,0.9814927174992627
P@1,0.9798994974874372
P@3,0.9798994974874372
P@5,0.9798994974874372
P@10,0.9899497487437185
P@20,0.9899497487437185
P@50,0.9949748743718593
P@100,0.9949748743718593
