group,count,mean_dist,median_dist,p10_dist,p90_dist
GT (score=1.0),195,2.6287176670172275e-08,0.0,0.0,1.1920928955078125e-07
non-GT (score=1.0),2021,0.331503662432349,0.287401020526886,0.16243326663970947,0.5727211236953735
non-GT (score=0.1),831363,0.8700727228538394,0.8830778747797012,0.7285391509532929,0.9942461643368006
