K,recovered,total,recovery_rate_pct
1,195,199,97.98994974874373
3,195,199,97.98994974874373
5,195,199,97.98994974874373
10,197,199,98.99497487437185
20,197,199,98.99497487437185
50,198,199,99.49748743718592
100,198,199,99.49748743718592
200,198,199,99.49748743718592
