K,count,mean,std,min,25%,50%,75%,max
5,199.0,0.2983967456329265,0.16517291705652531,0.0,0.1111111111111111,0.25,0.42857142857142855,0.6666666666666666
10,199.0,0.3540389429082119,0.16530556375533434,0.0,0.25,0.3333333333333333,0.42857142857142855,0.8181818181818182
20,199.0,0.4003553565234484,0.16876956463404644,0.02564102564102564,0.2903225806451613,0.3793103448275862,0.50997150997151,0.9047619047619048
50,199.0,0.32924100177915805,0.11976992876921722,0.010101010101010102,0.2579113924050633,0.3333333333333333,0.4084507042253521,0.7241379310344828
100,199.0,0.24154968342057337,0.09509876321751916,0.010101010101010102,0.17647058823529413,0.2345679012345679,0.2903225806451613,0.5748031496062992
