group,count,mean,median,std,p25,p75,p90,p99
GT,199,0.9914572864321609,1.0,0.07231655254779051,1.0,1.0,1.0,1.0
non-GT,1003941,0.13106995331398955,0.1,0.0918554849402099,0.1,0.1,0.2,0.6
