query_idx,gt_rank_pct
1,99.95
2,99.85833333333333
3,99.99166666666666
4,99.93333333333334
5,99.725
6,99.90833333333333
7,99.94166666666666
8,99.74166666666666
9,99.89166666666667
10,99.95
11,99.975
12,99.89166666666667
13,99.9
14,99.95
15,99.975
16,99.95833333333333
17,99.89166666666667
18,99.99166666666666
19,99.94166666666666
20,99.95
21,99.975
22,99.91666666666667
23,100.0
24,99.575
25,99.96666666666667
26,99.8
27,99.75833333333333
28,99.94166666666666
29,99.91666666666667
30,99.90833333333333
31,99.86666666666666
32,99.96666666666667
33,99.95
34,99.95
35,99.85
36,99.89166666666667
37,99.76666666666667
38,99.93333333333334
39,99.85
40,99.84166666666667
41,99.89166666666667
42,99.96666666666667
43,99.85
44,99.825
45,99.85833333333333
46,99.95
47,99.875
48,99.875
49,100.0
50,99.76666666666667
51,99.925
52,99.90833333333333
53,99.79166666666667
54,99.96666666666667
55,99.975
56,99.90833333333333
57,99.9
58,99.8
59,99.91666666666667
60,99.88333333333333
61,99.96666666666667
62,99.85833333333333
63,99.89166666666667
64,99.95833333333333
65,99.99166666666666
66,99.80833333333334
67,99.90833333333333
68,99.94166666666666
69,99.90833333333333
70,99.94166666666666
71,99.94166666666666
72,99.80833333333334
73,99.96666666666667
74,99.88333333333333
75,99.79166666666667
76,99.93333333333334
77,99.93333333333334
78,99.88333333333333
79,99.99166666666666
80,99.875
81,99.875
82,99.95
83,99.99166666666666
84,99.875
85,99.98333333333333
86,99.98333333333333
87,99.23333333333333
88,100.0
89,99.96666666666667
90,99.85833333333333
91,99.9
92,99.95833333333333
93,99.88333333333333
94,99.75833333333333
95,99.95
96,99.88333333333333
97,99.95
98,99.95833333333333
99,99.85
100,99.96666666666667
101,99.89166666666667
102,99.99166666666666
103,99.84166666666667
104,99.775
105,99.92753623188406
106,99.78750000000001
107,46.5125
108,99.97500000000001
109,99.86250000000001
110,99.9625
111,100.0
112,99.9
113,99.825
114,99.95
115,99.875
116,99.97500000000001
117,99.9625
118,99.8875
119,99.98750000000001
120,99.78750000000001
121,99.8875
122,99.9
123,99.825
124,99.775
125,99.9
126,99.9625
127,99.92500000000001
128,99.80000000000001
129,99.98750000000001
130,99.85000000000001
131,99.8375
132,99.875
133,99.97500000000001
134,99.8875
135,99.6375
136,99.91250000000001
137,99.91250000000001
138,99.9625
139,99.85000000000001
140,99.6875
141,99.91250000000001
142,99.91250000000001
143,99.98750000000001
144,99.9375
145,99.91250000000001
146,99.72500000000001
147,99.97500000000001
148,99.8375
149,99.92500000000001
150,99.72500000000001
151,99.8875
152,99.9625
153,99.72500000000001
154,99.9625
155,99.9
156,99.875
157,99.9
158,99.78750000000001
159,99.86250000000001
160,99.91250000000001
161,99.875
162,99.98750000000001
163,99.9625
164,99.73750000000001
165,99.95
166,99.95
167,99.9
168,99.875
169,99.98750000000001
170,99.8375
171,99.8125
172,99.825
173,99.9375
174,99.9
175,99.85000000000001
176,99.9375
177,99.85000000000001
178,99.95
179,99.92500000000001
180,100.0
181,99.9375
182,99.97500000000001
183,99.98750000000001
184,99.9625
185,99.8375
186,99.95
187,100.0
188,99.98750000000001
189,99.9625
190,99.5125
191,99.91250000000001
192,99.825
193,99.825
194,99.825
195,99.9
196,99.97500000000001
197,99.86250000000001
198,99.95
199,99.85000000000001
