score,n_docs,n_gt,gt_fraction,mean_dist,median_dist,p10_dist,p90_dist
0.1,831364,1,1.2028425575319596e-06,0.8700716762933403,0.8830777928233147,0.7285383701324463,0.9942461424507201
0.2,121608,0,0.0,0.8281327587444897,0.8449084907770157,0.6587100297212601,0.9747386833652855
0.3,92,0,0.0,0.7234254852342217,0.7358593344688416,0.5430322170257569,0.9055478349328041
0.4,38108,0,0.0,0.7664070399916086,0.7841267883777618,0.5637306451797486,0.9443140111863614
0.5,44,0,0.0,0.7578327050432563,0.7948423996567726,0.4383121073246002,0.929719078540802
0.6,8740,1,0.00011441647597254005,0.5914424881999204,0.5993647575378418,0.30896140933036803,0.8519525066018105
0.7,15,0,0.0,0.6955566508695483,0.792338103055954,0.39646995067596436,0.963133094459772
0.8,1952,2,0.0010245901639344263,0.3953276415778702,0.34226322174072266,0.20425742864608765,0.6475452095270157
0.9,1,0,0.0,0.9338862299919128,0.9338862299919128,0.9338862299919128,0.9338862299919128
1.0,2216,195,0.08799638989169675,0.30233253921560327,0.2740698456764221,0.0907667875289917,0.5583889335393906
